Mathematics, Language, Science, History, English, Physical_Education, Art,mean_sciences,mean_humanities,Total_mean
6.1,5.9,5.1,6.2,5.9,6.8,7,5.60,6.05,6.14
5.8,5.7,6.3,6.2,6.1,7.5,6.6,6.05,5.95,6.31
5.3,4.8,5,7.2,5.4,9.6,7.4,5.15,6.00,6.39
5.4,6.6,5.4,5.7,5.7,6.1,8.1,5.40,6.15,6.14
5.9,6,4.8,5.7,6.7,7.4,9,5.35,5.85,6.50
6.2,5.2,4.9,7.3,5.8,6.5,6.9,5.55,6.25,6.11
5.8,5.6,4.3,5.8,6,8.2,8.7,5.05,5.70,6.34
4.2,5.7,5.3,7.6,6.3,8.1,7.3,4.75,6.65,6.36
6.4,6,6,5.7,5.8,9.8,8,6.20,5.85,6.81
6.7,6.9,5.9,6.2,6.6,7.7,6.1,6.30,6.55,6.59
5.4,4.6,4.8,5.7,7,7.2,6.6,5.10,5.15,5.90
4.4,6,5.1,7.1,5.4,6.9,7.2,4.75,6.55,6.01
5.7,5.8,5.8,6.3,6.1,9.2,7.6,5.75,6.05,6.64
6.6,7,4.6,5.3,6.9,6.9,6.1,5.60,6.15,6.20
5.5,6.3,5.7,5.6,6.3,7.7,7.8,5.60,5.95,6.41
5.3,5.8,6.2,5.6,5,8.4,7.1,5.75,5.70,6.20
6.2,6.8,5.2,6.5,5.2,7.3,6.6,5.70,6.65,6.26
6.9,5.4,4.5,6.7,7.1,6.4,7.8,5.70,6.05,6.40
4.4,6.5,5.8,6.5,5,5.8,6.4,5.10,6.50,5.77
7,5.7,4.7,6.6,4.2,7.7,7.4,5.85,6.15,6.19
5.3,5.8,5.8,6.7,6.3,6.3,5.6,5.55,6.25,5.97
5.6,5.8,5,8.2,6.3,7.5,8,5.30,7.00,6.63
6.6,6.8,5.5,5,5.4,8.3,7.1,6.05,5.90,6.39
5.3,6.1,5.1,5.6,6.2,7.8,5.8,5.20,5.85,5.99
5.6,7.1,5.9,6,5.2,7.7,7.9,5.75,6.55,6.49
5.7,6.7,5,6.8,6.9,7.1,8.1,5.35,6.75,6.61
5.8,7,5.9,6.6,5.5,9,8.3,5.85,6.80,6.87
5.3,4.7,5.3,6.4,6.5,6.4,6.4,5.30,5.55,5.86
5.3,5.9,5.1,6.2,7.8,7.3,6.7,5.20,6.05,6.33
5.1,6.8,5.6,5.9,5.4,7.4,6.8,5.35,6.35,6.14
6.8,6.5,5.6,5.7,6.1,7.1,7.9,6.20,6.10,6.53
6,6,5.2,6.1,4.9,8.6,7,5.60,6.05,6.26
5.3,6.4,6.3,7.1,5.4,6.1,7,5.80,6.75,6.23
5.5,6.5,5.7,6.8,6.2,7.6,4.1,5.60,6.65,6.06
6,5.8,5.2,7.8,6,7.4,7.4,5.60,6.80,6.51
5.4,5.4,6,6.4,5.9,6,6.3,5.70,5.90,5.91
4.6,6.4,5.6,7,5.9,6.3,7.9,5.10,6.70,6.24
5.2,7.1,6.1,6.8,7.2,5.1,7.8,5.65,6.95,6.47
5.4,6.6,4.4,8.3,5.2,8.3,7.2,4.90,7.45,6.49
5.4,6.8,6.3,6,6.1,6.1,5.9,5.85,6.40,6.09
5.7,6.6,5.7,6.8,6.3,6.1,6.4,5.70,6.70,6.23
5.6,6.3,4.7,4.8,6.1,6.4,5.8,5.15,5.55,5.67
5.6,7.5,5.5,7.2,5.9,8.1,8.1,5.55,7.35,6.84
5.8,4.9,6.4,6.7,6.5,8.5,6.4,6.10,5.80,6.46
5.7,6.7,6.4,7.2,5.1,6.2,6.1,6.05,6.95,6.20
3.7,6.9,5.8,5.3,5.5,8.2,7.4,4.75,6.10,6.11
6.8,6.3,6,7.3,6.1,5.3,7.6,6.40,6.80,6.49
5.9,5.7,5.1,6.7,6.9,8.7,5.4,5.50,6.20,6.34
6.1,7,6.3,6,4.9,8.9,7.3,6.20,6.50,6.64
6,5.9,5.8,6.4,6,6.1,7.2,5.90,6.15,6.20
6.2,6.9,5.9,4.7,5.3,6.8,6.1,6.05,5.80,5.99
5.3,5.7,4.8,5.9,5.6,6.6,7.5,5.05,5.80,5.91
5.4,7.6,5.2,7.1,6.2,7.8,5.7,5.30,7.35,6.43
6.7,6.5,5.2,6.9,6.9,6.2,8.4,5.95,6.70,6.69
6.2,6.9,6.5,6.1,5.3,9.3,6.2,6.35,6.50,6.64
5.3,6.1,4.7,7.3,6.9,9.4,7.1,5.00,6.70,6.69
4.5,6.2,4.9,5.6,4.3,7.2,7.3,4.70,5.90,5.71
6.4,5.3,5,6.5,5.6,9.4,6.3,5.70,5.90,6.36
6,5.8,6.4,7.4,6.1,5.2,6.2,6.20,6.60,6.16
5.8,7,5.2,6.4,5.8,9.2,8.5,5.50,6.70,6.84
6.3,6.7,5.6,5.7,6.9,7.6,8.1,5.95,6.20,6.70
5.8,7.8,5.7,7.4,4.9,7.6,7.3,5.75,7.60,6.64
5.5,7.6,6.1,6.8,5.9,6,5.7,5.80,7.20,6.23
4.6,7,4.4,8.1,6.7,6.1,7.9,4.50,7.55,6.40
5.3,6,6,7.3,5.8,8,6.5,5.65,6.65,6.41
5.9,6.5,4.4,5.6,5.8,4.9,7.1,5.15,6.05,5.74
5,6.5,5.9,6,4.7,6.7,8.5,5.45,6.25,6.19
6.4,6.5,5.5,5.4,5.7,7.7,6.8,5.95,5.95,6.29
5.3,5.5,4.9,5.9,6.4,8.5,6.3,5.10,5.70,6.11
7,6.5,5.9,5.6,6,7.8,7.2,6.45,6.05,6.57
4.4,6,6.8,5.2,5.9,7.8,6.3,5.60,5.60,6.06
6.6,6.5,6.2,7.2,6.6,8.1,6.1,6.40,6.85,6.76
5.1,6,5.8,5.3,5.2,7.5,5.9,5.45,5.65,5.83
5,8,5.5,6.3,5.6,10,6.3,5.25,7.15,6.67
6.3,4.9,6.5,5.2,5.5,5.4,9.3,6.40,5.05,6.16
6.8,7,4.9,6.2,5.6,9.5,5.8,5.85,6.60,6.54
5.2,6.9,5.1,7.1,6.3,6.9,6.2,5.15,7.00,6.24
5.7,6.2,5.1,6.9,6.6,9.3,7.2,5.40,6.55,6.71
6.5,5.2,5.6,4.6,6,8.8,7,6.05,4.90,6.24
6,5.7,5.5,7,5.7,6.5,7.2,5.75,6.35,6.23
6.7,7,5.3,7.4,6,7.1,7.2,6.00,7.20,6.67
5.1,7.2,4.8,6.9,6.3,7.9,8,4.95,7.05,6.60
5.5,5.8,5.4,6.7,7.1,7.2,8.3,5.45,6.25,6.57
5.2,7.4,4.8,6.8,5.9,6.8,8.5,5.00,7.10,6.49
5.4,6.5,5.3,5.3,5.3,8.2,7,5.35,5.90,6.14
6.2,6.9,6.1,5.7,7.6,6,5.4,6.15,6.30,6.27
6.5,6.3,5,6.6,6.2,7.7,6.6,5.75,6.45,6.41
5.4,4.7,5.3,7.4,5.5,7.5,6.3,5.35,6.05,6.01
4.7,5,5.2,7.5,5.7,6.7,6.8,4.95,6.25,5.94
4.4,4.3,5.1,6.7,6.1,7.1,7.9,4.75,5.50,5.94
6,7,5.2,7.2,6.6,8.8,7,5.60,7.10,6.83
5,6,5.7,7,5.3,8.3,6.5,5.35,6.50,6.26
5.6,6.6,4.9,6.4,6.3,5.8,7,5.25,6.50,6.09
5.7,5.6,5.9,6.8,6.8,7.6,6.7,5.80,6.20,6.44
5.5,6.2,6.2,7.4,5.2,7.7,7.5,5.85,6.80,6.53
6.7,6.3,5.6,7.1,7,7.7,7.8,6.15,6.70,6.89
4.6,6.5,5.4,7.6,6.1,6.2,7.4,5.00,7.05,6.26
5.5,6.6,5.8,7.4,5.4,7.9,6.7,5.65,7.00,6.47
7.1,6.9,4.7,7,6.1,7.1,6.5,5.90,6.95,6.49
6.2,6.4,5.1,4.9,5.4,7.7,5.9,5.65,5.65,5.94
6.9,7.9,4.6,6.6,5.8,7.8,7.1,5.75,7.25,6.67
6,5.5,4.7,6.5,6.4,7.4,5.6,5.35,6.00,6.01
6.4,5.3,4.8,7.2,6.5,6.7,7.9,5.60,6.25,6.40
5,7,5.5,6.2,6.1,8.3,5,5.25,6.60,6.16
5,6.6,5.3,5.2,5,7.6,6.6,5.15,5.90,5.90
5.3,5.6,5.1,7.6,6.1,8,6.8,5.20,6.60,6.36
5.3,5.3,4.3,5,6.5,8.2,7.3,4.80,5.15,5.99
7.2,6.1,5.7,6.1,6.5,7.1,6.6,6.45,6.10,6.47
5.8,4.8,5.2,7.5,5.6,7.4,7.8,5.50,6.15,6.30
6.4,6.6,4.2,7.5,5.6,5.5,7.2,5.30,7.05,6.14
5.2,6.7,6.3,5.9,5.3,9.5,7.7,5.75,6.30,6.66
5.7,5.6,6,6.2,5.8,7.7,7.2,5.85,5.90,6.31
5.5,6.1,5.9,6.7,5.8,7.8,6.9,5.70,6.40,6.39
5.1,4.5,6,7.7,5.1,10,7.3,5.55,6.10,6.53
5.8,5.1,5.9,7.1,6.3,7.6,6.3,5.85,6.10,6.30
5.4,6.4,6.4,6,6,7.6,7.7,5.90,6.20,6.50
6.4,6,6.2,8.6,4.8,7.5,6.3,6.30,7.30,6.54
5.1,6.8,5.4,6.5,6.4,7,5.7,5.25,6.65,6.13
5.8,6,6.1,6.6,6.1,8.4,7.4,5.95,6.30,6.63
6.1,6.1,6.4,7.6,6.5,7.5,7.3,6.25,6.85,6.79
5.9,6.5,6,5.9,6.9,7.1,6.8,5.95,6.20,6.44
5.4,7.4,4.6,7.4,5.4,8.2,6.8,5.00,7.40,6.46
6.4,5.3,4.7,6.5,5.8,8.2,5.6,5.55,5.90,6.07
6.1,5.8,6.1,5.8,4.6,4.6,4.9,6.10,5.80,5.41
5.5,6.5,4.7,4.9,5.5,7.8,5.9,5.10,5.70,5.83
5.9,5.6,5.9,6.7,5.1,8,5.9,5.90,6.15,6.16
5.5,5.7,4.5,7.6,7.1,7,6.8,5.00,6.65,6.31
5.4,6.4,5.8,5.9,5.3,6.9,5.7,5.60,6.15,5.91
6,5.2,5.7,5.8,5.6,9.3,8.6,5.85,5.50,6.60
6,6.4,6,7.8,6.3,9,7.8,6.00,7.10,7.04
6,4.9,4.9,5.1,6,6.9,7.1,5.45,5.00,5.84
6.8,5.3,4.7,6.5,4.6,6,5.8,5.75,5.90,5.67
5.5,5.8,5,7.6,6,6.8,7.3,5.25,6.70,6.29
6.5,6,5.3,6,4.6,6.3,5.3,5.90,6.00,5.71
5.6,4.8,6,7,4.5,8.2,6.5,5.80,5.90,6.09
5.4,6,5.4,4.9,5.9,7,7.7,5.40,5.45,6.04
5.7,6.6,6.4,6.4,5.6,6,7.7,6.05,6.50,6.34
5.6,6.1,5.8,5.8,6.3,6.7,7.8,5.70,5.95,6.30
5.8,6.4,6.1,6.5,5.7,5.1,6.3,5.95,6.45,5.99
5.9,5.5,5.1,5.6,5.6,8.7,7.9,5.50,5.55,6.33
5.5,5.8,5,5.4,6.3,7.2,5,5.25,5.60,5.74
5.4,6.9,5.2,7.4,5.3,8.6,7.5,5.30,7.15,6.61
6.6,6.4,4.8,5.6,6.2,6.6,8,5.70,6.00,6.31
6.5,6.3,5.6,5.8,6,5.8,5.1,6.05,6.05,5.87
4.8,6.4,4.7,5.6,5.6,8.6,7.2,4.75,6.00,6.13
4.9,6.7,6.2,6.9,5.6,6.3,5.6,5.55,6.80,6.03
6.7,7.8,5.4,6.7,6.2,7.4,6.5,6.05,7.25,6.67
5.6,7.4,6.5,5.3,6.5,7.6,6.8,6.05,6.35,6.53
5.4,6.5,5.7,6.9,6,8.6,5.6,5.55,6.70,6.39
6.7,5.7,5.5,5.1,5.3,9.2,6.4,6.10,5.40,6.27
5.1,5.8,5.4,5.2,5.1,7.4,7.3,5.25,5.50,5.90
5.7,6.1,5.8,6.2,5,6.4,6.7,5.75,6.15,5.99
4.9,6.6,6.2,7.4,5.3,9.4,5.2,5.55,7.00,6.43
6,6.8,6.9,6.8,6,7.9,5.4,6.45,6.80,6.54
5.6,7.5,5.5,6.2,5.6,8,6.2,5.55,6.85,6.37
5.2,6.8,6,6.3,5.1,7.3,5.8,5.60,6.55,6.07
4.4,6.9,5,7.4,5,7,7.7,4.70,7.15,6.20
5.7,5.3,4.7,7.8,5.7,7.7,8.1,5.20,6.55,6.43
6.4,4.5,5.8,6.3,5.2,6.2,8.2,6.10,5.40,6.09
4.8,7.6,5.7,7,5.6,6.7,6.8,5.25,7.30,6.31
6.2,5.2,5.7,6.3,6.9,7.3,7.2,5.95,5.75,6.40
5.6,5.3,5.6,7.7,6.3,8,8.4,5.60,6.50,6.70
5.7,6.4,5.1,5.3,5.2,8.3,6,5.40,5.85,6.00
4.8,4.6,5.1,6.4,5.6,7.5,7.7,4.95,5.50,5.96
5.5,4.9,6.2,5.9,4.8,8.3,7.2,5.85,5.40,6.11
5.6,5.9,6.7,7,6.6,8.4,7.8,6.15,6.45,6.86
6.1,6.8,6.2,6.1,5.7,6.2,6.7,6.15,6.45,6.26
5.4,6.6,6.4,6.8,6.6,6.8,6.3,5.90,6.70,6.41
6.6,6,5.1,7.2,5.9,9,7.5,5.85,6.60,6.76
4.7,6.1,5.4,5.2,7.1,6.3,7.6,5.05,5.65,6.06
5.7,5.9,6.1,5.2,6.2,6.9,6,5.90,5.55,6.00
6.4,6.2,5.6,6.8,5.5,8,7.1,6.00,6.50,6.51
4.9,6.3,7.2,5.1,5.3,6.9,6.3,6.05,5.70,6.00
6.1,6.4,5.2,5.8,6.9,6.5,7.3,5.65,6.10,6.31
6.3,6.9,5.7,5.5,6.5,6,7.1,6.00,6.20,6.29
4.8,5.9,5.5,5.3,5,6.2,7.5,5.15,5.60,5.74
5.4,5.2,5,7.6,7,9,7.6,5.20,6.40,6.69
6.5,6,5.9,6.7,6.9,6.1,6.4,6.20,6.35,6.36
5.1,5.9,6.1,7.6,5.8,9.2,7,5.60,6.75,6.67
6.2,6.4,5.9,5.7,6.7,6.9,6.8,6.05,6.05,6.37
5.5,5.7,5.5,7,6.5,9.5,6.8,5.50,6.35,6.64
5,6,5.9,8.5,4.8,7.8,7.5,5.45,7.25,6.50
6,6.4,5.8,4,5.7,6.6,6.7,5.90,5.20,5.89
5.1,5.9,5.7,7.4,7.4,8.3,7.5,5.40,6.65,6.76
5.2,7.4,5.7,7.4,5.3,6.6,6.1,5.45,7.40,6.24
6.4,6.2,5,6.7,5,7,8,5.70,6.45,6.33
5.9,6.2,5.3,6,6,6.4,8.1,5.60,6.10,6.27
4.9,5.6,5.6,6,5.7,8.9,7.5,5.25,5.80,6.31
6.4,6,5.9,6.5,5.6,6.8,7.6,6.15,6.25,6.40
4.8,6,5.2,6.2,5.5,6.6,7.2,5.00,6.10,5.93
6.5,5.6,5.1,6.3,5.3,7.8,4.8,5.80,5.95,5.91
5.6,5.1,5.4,7.2,6.2,7.8,7,5.50,6.15,6.33
6.5,8,4.3,8,4.9,7.4,7.1,5.40,8.00,6.60
6.3,6.2,5.2,7.4,5.4,6.4,6.4,5.75,6.80,6.19
6.4,5.7,5.8,8,4.9,8.7,7.2,6.10,6.85,6.67
6.4,6,4.7,6.2,6,5.8,7.6,5.55,6.10,6.10
4.6,6.8,4.5,6.7,5.7,7.7,7.2,4.55,6.75,6.17
5.3,6.5,5.6,7.8,7,9.9,7,5.45,7.15,7.01
6.6,6,5.3,7.4,6.5,8.2,7.1,5.95,6.70,6.73
5.2,6.9,5,6.3,6.2,7.9,7,5.10,6.60,6.36
7,6,6.4,6.7,5.2,6.8,6.8,6.70,6.35,6.41
6.1,6.2,6.2,4.7,5.6,5.9,7.3,6.15,5.45,6.00
5.7,5.8,5.3,7.4,6.2,8.8,4.4,5.50,6.60,6.23
6.5,6.7,6.5,6,5.1,8.1,6.6,6.50,6.35,6.50
5.1,4.7,5.3,6.5,6,7.3,7.2,5.20,5.60,6.01
5.6,5.6,6.5,7,6.7,6.6,6.7,6.05,6.30,6.39
5,5.5,4.4,7.1,4.8,5.5,6.6,4.70,6.30,5.56
5,6.3,6.3,6.6,5.4,6.8,7.1,5.65,6.45,6.21
6.6,6.1,6,4.8,6.3,8.2,5.5,6.30,5.45,6.21
5.5,5.5,5.1,5.4,7,8.9,4.1,5.30,5.45,5.93
5.9,6.5,4.3,4.6,6.4,5.8,7,5.10,5.55,5.79
6.8,5.7,5.5,5.7,6.2,6.6,8.1,6.15,5.70,6.37
6.1,7,5,6,5.6,5.6,5.9,5.55,6.50,5.89
6.4,6,5.3,6,6.7,7.8,6.8,5.85,6.00,6.43
5.4,6,5.4,6.5,6.4,6.7,5.9,5.40,6.25,6.04
5.3,6.1,5.6,6.6,6,8.2,8.6,5.45,6.35,6.63
6.4,6.3,6,7,5.5,5.9,8.2,6.20,6.65,6.47
5.6,5.4,5.1,6.7,6.1,7.9,7.7,5.35,6.05,6.36
5.7,6.3,6,7.1,6.6,7.4,8.4,5.85,6.70,6.79
5.6,6.7,5.9,7.4,6.5,5.8,7.2,5.75,7.05,6.44
4.7,5.9,6.3,7.6,6.5,5.8,7.4,5.50,6.75,6.31
5.6,6.4,5,8.1,5.7,8.6,6.1,5.30,7.25,6.50
5.2,5.9,5.6,6.2,4.7,6.7,7.1,5.40,6.05,5.91
4.2,5.9,6.1,6.1,5.5,7.6,5.6,5.15,6.00,5.86
5.6,6.7,4.8,5.4,5,6.2,6.2,5.20,6.05,5.70
5.5,6.8,4.5,7.6,5.8,6.3,8.2,5.00,7.20,6.39
6.5,5.3,5,7,4.3,7.4,5.9,5.75,6.15,5.91
5.6,7,5.6,6.5,6.9,7.8,7.9,5.60,6.75,6.76
5.4,6.7,4.5,6.9,6,6.3,6,4.95,6.80,5.97
5.8,6.1,5.4,6.4,6.1,8.8,7.9,5.60,6.25,6.64
5.4,6,7,8.2,6.1,8.4,6.5,6.20,7.10,6.80
5.4,7.1,6,5.7,6.3,8.9,6.8,5.70,6.40,6.60
4.8,5.7,5.8,4.9,5.7,8.2,8.5,5.30,5.30,6.23
6.6,5.1,5.6,6.1,6.7,8.3,6.3,6.10,5.60,6.39
4.8,6.9,5.5,6.3,6.5,6.1,7.5,5.15,6.60,6.23
4.2,7.2,6.7,7.4,6.6,8.8,8.6,5.45,7.30,7.07
7.5,6.5,5.4,6.8,5.5,5.8,6.2,6.45,6.65,6.24
6.1,5.7,5.7,8.7,7.1,8.2,7.5,5.90,7.20,7.00
5.7,6.6,5.8,6.7,5.9,7.4,7.9,5.75,6.65,6.57
5.1,4.7,5.8,6.1,6.5,6.8,8.2,5.45,5.40,6.17
7.2,6.3,5.4,6.5,5.2,7,6.1,6.30,6.40,6.24
5.6,5.5,6.5,6.2,5,6.8,7,6.05,5.85,6.09
6.5,7.2,4.5,6.5,4.9,4.6,6.3,5.50,6.85,5.79
5.4,5.7,4.9,6.2,7.5,6.6,6.1,5.15,5.95,6.06
4.9,6.1,5.2,7.5,5.8,9.1,7.6,5.05,6.80,6.60
6.6,7.1,5,6.1,6,7.2,7.5,5.80,6.60,6.50
6.6,5.5,6.4,7.3,6.2,5.8,7.3,6.50,6.40,6.44
7.1,5.8,5.8,5.6,5.9,6,6.4,6.45,5.70,6.09
5.8,5.4,5.4,7.1,6.6,8.8,7.8,5.60,6.25,6.70
4.8,7.3,4.8,6.8,6.3,8.3,7.8,4.80,7.05,6.59
4.9,7.1,6.2,7.5,6.2,8.6,6.2,5.55,7.30,6.67
4.6,6.3,5,8,5.5,5.4,6.9,4.80,7.15,5.96
4.7,5.2,5.4,5.5,4.7,8.4,5.5,5.05,5.35,5.63
5,6,6.5,6,5.6,7.9,8.2,5.75,6.00,6.46
6,7.5,6.1,5.8,4.9,7.5,8,6.05,6.65,6.54
6.4,5.2,4.2,7.4,6.8,6.5,7.5,5.30,6.30,6.29
5.2,5,6.3,5.6,5.9,6.6,5.9,5.75,5.30,5.79
5.7,6.3,5.6,7,6.3,8.3,7.6,5.65,6.65,6.69
6.4,6.6,6.5,6.5,5.7,6.7,6.8,6.45,6.55,6.46
5.5,4.8,5.9,6.7,5.7,7.9,8.5,5.70,5.75,6.43
6.4,6.1,5.3,5.1,5.1,6.6,8,5.85,5.60,6.09
5.5,6.1,4.6,7.7,5.9,7.3,6.7,5.05,6.90,6.26
6.6,6.1,5.5,5.5,6.3,9.4,7.1,6.05,5.80,6.64
6.1,6.3,6.1,6.2,7.4,8.4,7.7,6.10,6.25,6.89
5.6,7,5.4,6.1,6.1,5.7,6.7,5.50,6.55,6.09
6.1,5.8,4.4,6.7,6.1,7.2,5.5,5.25,6.25,5.97
6.2,6.2,5.6,5.4,6.5,7.3,7.9,5.90,5.80,6.44
5.3,6.3,4.8,5.9,6.1,9.2,7.5,5.05,6.10,6.44
6,6,5.7,7,5.3,6.8,5.5,5.85,6.50,6.04
5.4,6.2,6.3,6.5,6.4,5.7,6.6,5.85,6.35,6.16
5.9,7.3,6.2,5.7,6.4,8.6,6.4,6.05,6.50,6.64
6.2,6,5.9,7,5.4,8.7,5.6,6.05,6.50,6.40
5,5.8,6.3,7.4,5.8,7.6,6.1,5.65,6.60,6.29
6.2,7.4,5.4,6,5.6,8.2,8.7,5.80,6.70,6.79
5.5,5.7,5.4,7.1,5.4,8.7,8,5.45,6.40,6.54
6.5,6.5,6.3,5.8,4.8,8.4,5.9,6.40,6.15,6.31
5.4,5.3,5,4.7,6.5,7.6,6.6,5.20,5.00,5.87
5,6.5,5.4,6.5,5.8,7.2,5.6,5.20,6.50,6.00
5.5,6.3,5.5,4.8,5.8,8.6,6.5,5.50,5.55,6.14
6.2,5,5.7,7.4,5.7,6.2,8.3,5.95,6.20,6.36
5.1,6.6,5.7,4.4,7,8.5,5.7,5.40,5.50,6.14
5.4,4.9,5.4,5.1,6.3,6.7,7.2,5.40,5.00,5.86
5.3,6,7,5.2,7.1,7.5,7.5,6.15,5.60,6.51
6.4,5.6,5.9,6.4,6.8,6.6,7.8,6.15,6.00,6.50
6.1,5.4,5.8,6.1,7.5,7.1,7.9,5.95,5.75,6.56
5.6,5.7,4.9,6.6,5.7,7.5,5.5,5.25,6.15,5.93
5.7,6.3,5.1,7.3,6.5,7.4,7.4,5.40,6.80,6.53
4.8,5.9,6.7,6.6,5.2,6.1,7,5.75,6.25,6.04
4.8,6.1,5.3,5.6,5.7,6.1,5.4,5.05,5.85,5.57
6.4,6.2,5.5,6.5,5.9,8.4,7.7,5.95,6.35,6.66
5.4,6,6,6.5,6.8,6.2,5.9,5.70,6.25,6.11
6.7,6.9,5.5,6.6,5.1,8.8,6.9,6.10,6.75,6.64
7,4.6,5.6,7,7,8.4,7.7,6.30,5.80,6.76
4.4,5.1,5.2,6.6,6.4,6.6,6.2,4.80,5.85,5.79
5.7,7.8,5.3,6.9,6.2,9,7.5,5.50,7.35,6.91
6,4.9,5.6,7.6,5.7,9.2,6.4,5.80,6.25,6.49
5.5,7.7,5.8,5.6,5.6,6.8,7.6,5.65,6.65,6.37
5.5,5.9,4.8,6.4,5,8.4,7.8,5.15,6.15,6.26
5.4,5.6,5.1,6.8,4.5,5.4,7.7,5.25,6.20,5.79
5.8,4.3,5.4,6.3,7.3,7.4,6.1,5.60,5.30,6.09
5.6,6.8,6.3,7,5.8,6.9,8.4,5.95,6.90,6.69
5.9,6.9,5.3,5.4,5.8,7.4,7,5.60,6.15,6.24
5.2,7,6,7.3,5.6,8.3,6.1,5.60,7.15,6.50
5.9,6.3,5.8,6.6,5.8,7,6.8,5.85,6.45,6.31
5.2,6.3,4.6,7.3,5.7,6.1,8.2,4.90,6.80,6.20
5.3,6.7,4.9,7.6,6.2,7.1,6.2,5.10,7.15,6.29
5.8,6.7,5.5,6.5,5.3,8.8,6.2,5.65,6.60,6.40
6,5.6,4.4,6.5,5.9,7.1,6.4,5.20,6.05,5.99
4.7,5.9,6,6.8,4.5,7.3,6.7,5.35,6.35,5.99
5,6.3,4.9,5.4,6.2,6.2,7.1,4.95,5.85,5.87
5.4,5.3,5.3,7,5.8,5.7,7.9,5.35,6.15,6.06
6,5.3,5,6.1,6.5,5.1,6.8,5.50,5.70,5.83
6.7,6.5,5.3,6.3,5.9,7.6,5.2,6.00,6.40,6.21
5,6.6,5.4,7.2,6.1,8.2,8.7,5.20,6.90,6.74
5.7,5.5,6.4,6.2,5,5.7,6.8,6.05,5.85,5.90
4.1,5.8,5.9,7.7,5.5,8.2,5.8,5.00,6.75,6.14
5.6,5.6,5.7,7.9,5.4,7.6,6.6,5.65,6.75,6.34
6.3,6.5,5.3,5.2,6.4,9,8.6,5.80,5.85,6.76
5.4,7.1,6.1,5.3,5.2,7.2,6,5.75,6.20,6.04
5.4,7,5.2,6.2,6.2,7.4,4.7,5.30,6.60,6.01
5.3,6,5.1,6.3,5.2,6.6,6.5,5.20,6.15,5.86
5.6,6.6,5.2,5.5,5.8,7.3,6.4,5.40,6.05,6.06
6.5,6,4.8,6.8,6.1,7.6,7.2,5.65,6.40,6.43
6.1,4.7,5,6.8,5.8,7.6,6.2,5.55,5.75,6.03
6.1,6.9,5.1,7.5,5.5,7.5,7.1,5.60,7.20,6.53
6.5,6.6,5,6.9,7.3,7.9,6.8,5.75,6.75,6.71
5.6,4.7,4.9,5.9,6.7,7.3,6.1,5.25,5.30,5.89
6.1,4.1,5.9,6.4,4.7,8.2,7,6.00,5.25,6.06
5.5,5.3,5.6,6.4,6.4,7.5,6.6,5.55,5.85,6.19
5.2,6.1,5.6,7,6.4,6.2,6.9,5.40,6.55,6.20
5.3,6.4,6.1,6.6,6.5,6.4,4.8,5.70,6.50,6.01
5.7,5.5,6.4,6.5,6.3,5.8,7.8,6.05,6.00,6.29
5.7,6,6.2,7.1,5.7,7.7,5.5,5.95,6.55,6.27
5.7,6.2,5.1,7,5.6,7,8.1,5.40,6.60,6.39
5.7,5.8,6.9,5.2,5.9,5.9,6.1,6.30,5.50,5.93
6.1,5.6,4.3,6.1,5.5,7.8,7.7,5.20,5.85,6.16
6.1,6,5.3,5.9,5.2,5.8,7.3,5.70,5.95,5.94
4.8,6.4,5.2,6.2,7.3,7.9,8.7,5.00,6.30,6.64
5.7,5.7,5.4,6.4,5.8,7.7,7.9,5.55,6.05,6.37
5.3,5.7,4.2,6.1,6.2,6.8,6.5,4.75,5.90,5.83
5.4,4.4,5.1,6,6.9,6.1,5.5,5.25,5.20,5.63
5.7,6.1,5.7,6.5,6.4,7.9,8,5.70,6.30,6.61
5.7,6.3,6.7,7.6,5.6,7.3,6,6.20,6.95,6.46
5.5,5.8,4.9,7.3,4.8,8.6,7.9,5.20,6.55,6.40
5.4,6.4,5.2,6.3,6.1,7.5,5.4,5.30,6.35,6.04
4.9,6.7,5.8,6.8,6.3,9.7,5.9,5.35,6.75,6.59
6.1,5.9,5.1,5.7,5.8,7.8,6.4,5.60,5.80,6.11
5.2,6.8,5.5,6,5.9,6.3,8.5,5.35,6.40,6.31
5.3,4.6,5.6,6.5,5.2,7.3,5.7,5.45,5.55,5.74
5.1,5.6,5.6,7.4,7.7,5.4,6.4,5.35,6.50,6.17
6,5.1,5.1,5.4,6.7,9.3,4.9,5.55,5.25,6.07
6.3,6.4,6.2,6.1,5.3,8.3,7.9,6.25,6.25,6.64
5.4,5.2,6.1,6.2,6.4,6.3,6.9,5.75,5.70,6.07
4.3,6.6,4.9,5.5,7.1,8.6,6.3,4.60,6.05,6.19
5.7,6.4,5.5,6.8,6.1,6.8,6.8,5.60,6.60,6.30
5.7,6.4,6.1,5.1,5.2,7.9,7.7,5.90,5.75,6.30
6.5,6.1,5.9,6.5,5.5,8,8.1,6.20,6.30,6.66
5.4,4.9,6,5.1,5.8,6.5,5,5.70,5.00,5.53
4.4,6.1,5.9,6.7,5.6,5.8,6,5.15,6.40,5.79
6.3,6.3,6.3,7.4,5.3,7.6,6.4,6.30,6.85,6.51
4.8,5.2,5.8,6.3,7.2,6.4,7.1,5.30,5.75,6.11
5.2,6,5.8,6.5,5.2,7.3,6.7,5.50,6.25,6.10
